"name","pvalue","group"
"ITRc_47621 - Transposase_20",0.00106876673056203,"2"
"ITRc_552474 - Transposase_mut",0.00106876673056203,"2"
"ITRc_59617 - PDDEXK_2",0.00106876673056203,"2"
"ITRc_66525 - Transposase_20",0.00106876673056203,"2"
"ITRc_685326 - DDE_Tnp_1",0.00106876673056203,"2"
"ITRc_74066 - DDE_Tnp_ISL3",0.00106876673056203,"2"
"ITRc_74577 - PDDEXK_2",0.00106876673056203,"2"
"ITRc_74673 - DEDD_Tnp_IS110",0.00106876673056203,"2"
"ITRc_98205 - Y1_Tnp",0.00106876673056203,"2"
"ITRc_245186 - zf-ISL3",0.00123982048492732,"1"
"ITRc_707453 - DDE_Tnp_ISL3",0.00132184135927988,"1"
"ITRc_81238 - HTH_Tnp_1",0.00132184135927988,"1"
"ITRc_9754 - DUF772",0.00132184135927988,"1"
"ITRc_103450 - DDE_Tnp_IS240",0.00253323259251194,"2"
"ITRc_111362 - DDE_Tnp_1",0.00253323259251194,"2"
"ITRc_126965 - Transposase_31",0.00253323259251194,"2"
"ITRc_127128 - PDDEXK_2",0.00253323259251194,"2"
"ITRc_132087 - OrfB_IS605",0.00253323259251194,"2"
"ITRc_135795 - Transposase_mut",0.00253323259251194,"2"
"ITRc_175391 - Transposase_20",0.00253323259251194,"2"
"ITRc_2054426 - Y1_Tnp",0.00253323259251194,"2"
"ITRc_2434775 - DDE_Tnp_1",0.00253323259251194,"2"
"ITRc_373416 - Y1_Tnp",0.00253323259251194,"2"
"ITRc_42526 - PDDEXK_2",0.00253323259251194,"2"
"ITRc_430468 - PDDEXK_2",0.00253323259251194,"2"
"ITRc_560887 - DDE_Tnp_IS66",0.00253323259251194,"2"
"ITRc_61108 - DDE_Tnp_1_3",0.00253323259251194,"2"
"ITRc_75218 - PDDEXK_2",0.00253323259251194,"2"
"ITRc_772346 - DDE_Tnp_IS66",0.00253323259251194,"2"
"ITRc_1503933 - Y1_Tnp",0.00258766122294594,"2"
"ITRc_104649 - DDE_Tnp_ISL3",0.00283237005246518,"1"
"ITRc_1080049 - Transposase_mut",0.00599106086603303,"2"
"ITRc_111704 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_1132511 - Y2_Tnp",0.00599106086603303,"2"
"ITRc_130086 - DDE_Tnp_ISL3",0.00599106086603303,"2"
"ITRc_225035 - Transposase_mut",0.00599106086603303,"2"
"ITRc_238427 - HTH_Tnp_1",0.00599106086603303,"2"
"ITRc_302473 - Transposase_mut",0.00599106086603303,"2"
"ITRc_307732 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_338702 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_366221 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_369212 - Y1_Tnp",0.00599106086603303,"2"
"ITRc_42500 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_4681336 - OrfB_Zn_ribbon",0.00599106086603303,"2"
"ITRc_562197 - PDDEXK_2",0.00599106086603303,"2"
"ITRc_571791 - DDE_Tnp_ISL3",0.00599106086603303,"2"
"ITRc_586488 - OrfB_IS605",0.00599106086603303,"2"
"ITRc_74577 - Y1_Tnp",0.00599106086603303,"2"
"ITRc_74822 - Y1_Tnp",0.00599106086603303,"2"
"ITRc_785400 - DEDD_Tnp_IS110",0.00611109885790893,"2"
"ITRc_42584 - DDE_Tnp_ISL3",0.00746308091231887,"1"
"ITRc_63538 - OrfB_Zn_ribbon",0.00746308091231887,"1"
"ITRc_103610 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_113158 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_127143 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_128793 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_1445668 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_165462 - DUF772",0.0141375004290693,"2"
"ITRc_165462 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_166426 - Y1_Tnp",0.0141375004290693,"2"
"ITRc_1764734 - Transposase_mut",0.0141375004290693,"2"
"ITRc_1807245 - Transposase_mut",0.0141375004290693,"2"
"ITRc_229825 - DDE_Tnp_1",0.0141375004290693,"2"
"ITRc_247652 - HTH_Tnp_1",0.0141375004290693,"2"
"ITRc_3031856 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_366198 - DDE_Tnp_1_4",0.0141375004290693,"2"
"ITRc_42690 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_431742 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_435563 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_565434 - DDE_Tnp_1_4",0.0141375004290693,"2"
"ITRc_59115 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_650830 - HTH_Tnp_1",0.0141375004290693,"2"
"ITRc_66080 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_701735 - DUF772",0.0141375004290693,"2"
"ITRc_96583 - DDE_Tnp_1_6",0.0141375004290693,"2"
"ITRc_97900 - PDDEXK_2",0.0141375004290693,"2"
"ITRc_548481 - Transposase_20",0.0143934328127054,"2"
"ITRc_66584 - DDE_Tnp_ISL3",0.0157306775447652,"2"
"ITRc_130676 - DDE_Tnp_1",0.0208530448727294,"1"
"ITRc_186758 - HTH_Tnp_1",0.0208530448727294,"1"
"ITRc_139276 - Y1_Tnp",0.0293177605390749,"1"
"ITRc_1009765 - Transposase_mut",0.0332878278114368,"2"
"ITRc_1051814 - PDDEXK_2",0.0332878278114368,"2"
